"TIMESTAMP_START","TIMESTAMP_END","CO2","CO2_SIGMA","H2O","H2O_SIGMA","FC","FC_SSITC_TEST","LE","LE_SSITC_TEST","ET","ET_SSITC_TEST","H","H_SSITC_TEST","FETCH_MAX","FETCH_90","FETCH_55","FETCH_40","WD","WS","WS_MAX","USTAR","ZL","TAU","TAU_SSITC_TEST","MO_LENGTH","U","U_SIGMA","V","V_SIGMA","W","W_SIGMA","PA","TA_1_1_1","RH_1_1_1","T_DP_1_1_1","TA_1_1_2","RH_1_1_2","T_DP_1_1_2","VPD","T_SONIC","T_SONIC_SIGMA","PBLH"
202401270300,202401270330,407.8675,0.7606038,2.983102,0.09064224,-1.385996,4,22.40111,3,0.03230502,3,-21.68508,3,39.89584,111.4653,56.9791,43.10078,343.0297,5.133465,8.476343,0.3357579,0.01013965,0.1432068,3,162.1485,5.114425,0.8414357,0,0.709199,-5.960464e-08,0.325305,100.4168,-0.4117808,49.71994,-9.642187,1.974661,42.22776,-9.531443,4.089011,2.235429,0.1712404,270.3238
202401270330,202401270400,408.104,0.9150786,3.116024,0.07629694,-0.8956458,7,17.55013,3,0.02530532,3,-18.6148,3,39.33061,109.9245,56.17822,42.49436,341.8823,5.066817,8.34011,0.3142185,0.01068019,0.1254506,1,153.942,5.050867,0.893995,0,0.6850822,5.960464e-08,0.3245308,100.3834,-0.570402,52.51551,-9.090639,1.807051,44.61396,-8.979726,3.872798,2.079521,0.1269627,265.1357
202401270400,202401270430,407.2611,0.5529326,3.159467,0.06834515,-0.8544626,3,15.92419,3,0.02295988,3,-16.50201,3,41.12935,115.0884,58.77484,44.45592,333.8256,4.968361,7.432514,0.2822578,0.01305106,0.1011949,1,125.9767,4.960668,0.6706206,0,0.6122212,5.960464e-08,0.2981141,100.3349,-0.6299525,53.45118,-8.920274,1.76009,45.36599,-8.808593,3.80754,2.036036,0.1381093,245.6269
202401270430,202401270500,408.5155,0.8577176,3.142946,0.07022753,-0.5572522,7,15.13369,3,0.0218198,3,-15.76252,3,40.48236,113.4339,57.87803,43.77498,345.7787,4.221999,6.935315,0.2658247,0.01493189,0.08974038,3,110.1086,4.213191,0.7229252,0,0.5515033,0,0.2615517,100.3126,-0.6450334,53.21821,-8.990066,1.744758,45.16845,-8.878457,3.816984,2.019199,0.1197795,228.3789
202401270500,202401270530,408.775,0.7382275,3.074732,0.08802671,-0.7744181,6,12.32125,1,0.01776695,1,-12.4732,1,22.74502,626.2191,89.15316,55.8188,354.22,2.776549,5.260998,0.1668463,0.04772799,0.0353227,3,34.44792,2.719077,0.8492462,0,0.5835981,2.980232e-08,0.1934858,100.2695,-0.5396806,51.64115,-9.27748,1.871806,43.77542,-9.16518,3.949969,2.140576,0.1341127,146.139
202401270530,202401270600,407.7769,0.4650541,3.135863,0.08314158,-0.6458384,7,12.2679,3,0.01768783,3,-13.64413,3,38.74,109.0546,55.47802,41.9501,329.4696,3.496427,5.883922,0.2181157,0.02349897,0.06037665,3,69.96604,3.444269,0.8076422,0,0.6314665,0,0.226742,100.241,-0.6382445,53.03785,-9.028546,1.740336,45.05164,-8.917498,3.824147,2.014362,0.1396605,184.7457
202401270600,202401270630,408.9293,0.9083334,3.059214,0.09471098,-0.5401251,9,18.10452,1,0.02610331,1,-13.76025,2,38.18106,107.03,54.5928,41.28977,330.7519,4.809638,7.898283,0.2502175,0.01531491,0.07942887,1,107.3549,4.76875,0.8742778,0,0.7823826,-5.960464e-08,0.3118531,100.207,-0.6441932,51.75428,-9.349813,1.751361,43.91288,-9.238278,3.907297,2.01851,0.1877243,225.3857
202401270630,202401270700,409.7229,0.9078691,3.035632,0.1110958,-1.377473,3,23.72129,3,0.03420295,3,-22.01982,3,42.0846,118.2948,60.24056,45.55423,335.2021,4.828288,8.990851,0.2659052,0.02072524,0.08965545,1,79.32982,4.796336,0.9196789,0,0.7809967,0,0.2934371,100.1701,-0.5976082,51.15814,-9.454638,1.79189,43.43182,-9.343508,3.951978,2.056966,0.1589881,194.9237
202401270700,202401270730,409.8386,0.717792,2.84252,0.1194585,-0.8227415,4,18.65706,3,0.02690245,3,-14.2472,3,39.13275,109.7126,55.9577,42.32168,349.4425,4.09405,7.380502,0.2515102,0.01563287,0.08016787,3,105.1713,3.999307,0.8560202,0,0.9386692,2.980232e-08,0.2588903,100.1296,-0.5321531,47.66865,-10.29289,1.848702,40.49781,-10.18297,4.173872,2.097039,0.1535296,223.0123
202401270730,202401270800,409.7706,0.5978064,2.848543,0.1263979,-0.4550202,3,20.37629,3,0.02937752,3,-14.16798,3,38.29523,107.675,54.81657,41.45255,355.7296,3.758686,6.445699,0.2278978,0.02073937,0.06583653,3,79.27578,3.707111,0.6620273,0,0.7538438,0,0.2410154,100.1003,-0.6740052,48.25554,-10.2711,1.705891,40.98924,-10.16115,4.097299,1.954644,0.1434648,194.865
202401270800,202401270830,409.0076,0.7230962,3.029644,0.1342141,-0.4474128,4,26.41457,2,0.03808132,2,-39.25181,2,39.31978,110.5409,56.28212,42.56093,326.6236,3.825826,10.89192,0.3255827,0.02063553,0.1343463,1,79.67471,3.56212,0.9663623,0,1.41594,5.960464e-08,0.3331447,100.0688,-0.719538,51.50392,-9.495475,1.653785,43.76996,-9.385089,3.893728,1.918355,0.3420538,195.2986
202401270830,202401270900,409.2703,0.817006,3.028697,0.1100529,-0.3855899,4,17.04567,1,0.0245758,1,-21.20524,2,37.67254,106.1389,53.96409,40.80373,329.281,3.485817,8.256426,0.2468775,0.02538642,0.07718927,4,64.76414,3.218849,1.129115,0,1.312085,2.980232e-08,0.2664931,100.0199,-0.6879278,51.31136,-9.503191,1.714914,43.51812,-9.391453,3.925445,1.979367,0.2320278,179.0915
202401270900,202401270930,409.8024,1.186633,3.034816,0.08749085,-0.6084482,8,12.75768,1,0.01839061,1,-12.15154,1,30.6059,944.2094,125.7148,77.66588,329.3298,3.204362,7.817566,0.1491597,0.06503434,0.02818118,7,25.28095,3.10081,1.107332,0,0.8137254,2.980232e-08,0.2605949,99.9732,-0.842628,51.96921,-9.480108,1.546491,44.1055,-9.368918,3.837217,1.811326,0.2117581,136.1749
202401270930,202401271000,409.2373,0.7024178,3.01666,0.09305735,-0.795922,4,18.02512,1,0.02598435,1,-14.0243,1,34.97214,98.04397,50.00148,37.81754,335.8914,3.849642,8.29714,0.2536517,0.01505482,0.0814496,1,109.2095,3.716788,0.7595082,0,1.108982,2.980232e-08,0.2803184,99.92504,-0.8408618,51.62331,-9.564002,1.569616,43.74563,-9.451898,3.867857,1.832944,0.1732966,227.4016
202401271000,202401271030,407.7908,1.037239,3.068792,0.09444578,-1.151217,2,18.91944,1,0.0272677,1,-11.28749,1,36.15696,100.8832,51.6099,39.04212,331.251,4.772028,8.581753,0.2906668,0.007866879,0.1069712,1,208.9939,4.646288,0.984163,0,1.170462,5.960464e-08,0.3319103,99.85864,-1.077748,53.40286,-9.35551,1.342207,45.20655,-9.242666,3.706936,1.609858,0.2035203,299.9387
202401271030,202401271100,407.5252,0.7519518,3.080149,0.1092698,-0.8691359,4,18.1443,3,0.02615365,3,-12.12807,3,38.35783,107.0675,54.76218,41.42575,334.2428,4.430711,7.968452,0.2903678,0.008579125,0.1066294,3,191.6431,4.380756,0.8566688,0,0.8102931,2.980232e-08,0.2930715,99.79082,-0.9446358,53.03961,-9.318674,1.467843,44.93486,-9.206205,3.758846,1.736678,0.1685083,288.9698
202401271100,202401271130,407.3481,1.242759,3.055629,0.1055843,-0.8379058,1,16.9292,1,0.02440434,1,-14.10595,1,37.4761,104.8415,53.54509,40.50111,329.5255,4.470319,9.041395,0.2726932,0.0122764,0.09393274,1,133.926,4.391987,0.9943197,0,0.9504963,2.980232e-08,0.299678,99.70648,-0.8376866,52.16381,-9.429822,1.561842,44.24601,-9.318114,3.832164,1.828687,0.2099887,252.482
202401271130,202401271200,408.3441,0.9691534,3.023993,0.1054171,-1.236885,7,24.39714,3,0.03518525,3,-37.14406,3,34.65,96.61395,49.44523,37.40589,281.21,5.964041,11.54546,0.459669,0.006976078,0.2662395,1,235.6811,5.873494,1.299803,0,1.049226,0,0.4614365,99.62418,-0.3608411,49.83022,-9.571626,2.025977,42.32255,-9.460821,4.098055,2.290176,0.1980177,316.8099
202401271200,202401271230,409.3823,1.0932,2.979073,0.1097738,-0.4502104,4,25.72887,3,0.03710551,3,-29.90597,3,35.71148,99.16226,50.88683,38.50337,284.2264,6.415966,12.56357,0.5257777,0.003710859,0.3481286,3,443.0591,6.299305,1.298439,0,1.241812,0,0.4828214,99.56246,-0.3568606,49.04376,-9.769284,2.016292,41.69768,-9.659301,4.13936,2.276466,0.1842151,447.9109
202401271230,202401271300,409.2476,1.882397,2.956037,0.1283786,0.06223448,4,35.20574,3,0.0507602,3,-17.60581,3,36.5322,101.2305,52.01893,39.36353,292.5152,5.729982,12.0279,0.4836826,0.002617575,0.2948007,4,628.1117,5.549157,1.327259,0,1.469021,2.980232e-08,0.417142,99.52923,-0.6226556,49.59454,-9.875058,1.754387,42.13588,-9.76488,4.031142,2.012548,0.1457975,564.8982
202401271300,202401271330,408.6321,1.035606,2.766729,0.1682931,-0.8547963,4,30.38413,3,0.0437962,3,-17.27776,3,37.97384,105.3609,54.0978,40.93417,293.9116,7.272253,12.9132,0.4461994,0.003323851,0.2511069,1,494.646,7.169149,1.282364,0,1.284781,0,0.4831717,99.50625,-0.9519646,47.53961,-10.72417,1.461899,40.2693,-10.61295,4.074511,1.703305,0.1415521,480.5233
202401271330,202401271400,407.8316,0.7807443,2.699477,0.1505019,-0.8666288,4,38.30375,3,0.0551947,3,-11.94217,3,39.8684,110.5702,56.79004,42.97194,300.6453,6.616769,12.25989,0.3897025,0.003138382,0.1917019,1,523.8781,6.532943,1.413356,0,1.128238,-2.980232e-08,0.4117532,99.46841,-1.30046,47.57081,-11.03506,1.137285,40.20587,-10.92289,3.98467,1.37263,0.1303339,499.0034
202401271400,202401271430,407.1259,0.9356434,2.525378,0.1543409,-2.218061,1,37.2986,1,0.05371925,1,-16.5252,6,40.21758,111.8573,57.34614,43.38716,306.9712,6.758469,12.45004,0.3796826,0.005006191,0.1822684,1,328.4193,6.66217,1.211615,0,1.269563,0,0.4128548,99.43124,-1.854709,46.33018,-11.87708,0.6050712,39.06177,-11.76447,3.907551,0.8247134,0.2652726,375.4375
202401271430,202401271500,405.9276,0.7983794,2.362619,0.1347678,-1.903277,1,51.18616,1,0.07366202,1,20.56754,1,39.34238,108.5217,55.9324,42.33326,318.6454,7.855273,11.97095,0.4758436,-0.004130877,0.2870393,1,-398.0099,7.745541,1.229567,0,1.471887,5.960464e-08,0.4975031,99.38018,-2.727772,46.22336,-12.70827,-0.2379594,38.83205,-12.59471,3.688733,-0.03305921,0.189041,1321.931
202401271500,202401271530,406.3965,1.123035,2.246391,0.1941828,-5.291955,3,68.98927,3,0.09925962,3,-6.804987,8,37.39433,103.2655,53.18296,40.25039,305.6069,6.863298,12.19755,0.5045719,0.0004370399,0.3228758,3,3761.967,6.581408,1.375414,0,1.995384,5.960464e-08,0.4672295,99.3274,-2.989948,44.82328,-13.36197,-0.4816336,37.60054,-13.24811,3.699377,-0.2868972,0.2821311,1000
202401271530,202401271600,407.1402,1.072069,2.107276,0.1945562,-4.486663,3,72.57682,3,0.1043998,3,-12.20037,7,35.45722,97.92436,50.42797,38.16533,313.522,7.235683,13.73438,0.61674,0.000661042,0.4825217,3,2487.179,6.713748,1.820416,0,2.680286,-5.960464e-08,0.5296457,99.27098,-3.182039,42.63228,-14.15568,-0.699411,35.81302,-14.04365,3.745291,-0.5168896,0.3571146,1000
202401271600,202401271630,406.5789,0.9130723,2.111202,0.1648639,-3.00932,3,71.55991,3,0.1028825,3,53.52383,3,37.45254,103.302,53.2432,40.29812,325.8853,8.374698,15.52138,0.5749583,-0.005756494,0.4200871,1,-285.613,8.278726,1.758083,0,1.484333,-1.192093e-07,0.5756484,99.23907,-3.780126,44.61922,-14.12544,-1.259968,37.3346,-14.01141,3.506804,-1.077499,0.2964312,1376.316
